us_state,county,pop_per_100k,cancer_classification
AL,Shelby,10.184673788918808,medium
AL,Hale,13.607983350232136,medium
AL,Monroe,15.27672967550754,medium
AL,Coosa,16.7837270820031,medium
AL,Perry,14.080424069242556,medium
AL,Lauderdale,17.830776005733476,medium
AL,Madison,13.462185682003943,medium
AL,Randolph,17.215064068434316,medium
AL,Pickens,18.640622676119182,medium
AL,Wilcox,17.22526616701178,medium
AL,Tuscaloosa,12.352918181462805,medium
AL,Sumter,16.455638341637336,medium
AL,Mobile,16.02894082167128,medium
AL,Pike,13.143116591392452,medium
AL,Washington,13.375529945661908,medium
AL,Dale,19.344942997171103,medium
AL,St. Clair,18.217666524461254,medium
AL,Winston,21.68419472406862,high
AL,Henry,22.67865284126112,high
AL,Tallapoosa,22.87576886637311,high
AL,Marion,21.691685297562014,high
AL,Marshall,18.98794265641318,medium
AL,Escambia,18.43828769057782,medium
AL,Morgan,18.654775924602497,medium
AL,Talladega,19.48045526911705,medium
AL,Cullman,19.226488524036778,medium
AL,Marengo,17.01507049100632,medium
AL,Butler,15.274747073993256,medium
AL,Coffee,16.69239751416503,medium
AL,Clarke,16.242203742203742,medium
AL,DeKalb,15.357483397885392,medium
AL,Lee,8.848395367724777,low
AL,Choctaw,18.807826482633097,medium
AL,Jefferson,14.15427738019177,medium
AL,Montgomery,11.960102505113824,medium
AL,Geneva,23.941636614140624,high
AL,Lamar,26.55966643343662,high
AL,Walker,25.45297670405522,high
AL,Russell,15.936145983304664,medium
AL,Lowndes,20.048965743257572,high
AL,Colbert,19.76146660936576,medium
AL,Jackson,22.469076360468183,high
AL,Elmore,16.158521519988142,medium
AL,Conecuh,23.731924184412872,high
AL,Dallas,18.34952408988323,medium
AL,Bullock,19.16700208920323,medium
AL,Cleburne,21.42560627770264,high
AL,Crenshaw,24.80065750580364,high
AL,Franklin,16.466326362588507,medium
AL,Lawrence,21.50498879698209,high
AL,Fayette,20.40595853989365,high
AL,Greene,18.29096707625926,medium
AL,Limestone,15.415049105446796,medium
AL,Chilton,16.428379112228644,medium
AL,Houston,16.09452363667093,medium
AL,Macon,18.997470445511333,medium
AL,Etowah,19.725662156375286,medium
AL,Bibb,19.51219512195122,medium
AL,Barbour,17.102761637894833,medium
AL,Calhoun,19.904665307379958,medium
AL,Chambers,20.51173235725779,high
AL,Blount,18.958464989340204,medium
AL,Covington,23.883270515356195,high
AL,Cherokee,23.209574723225824,high
AL,Clay,25.96356148439948,high
AL,Baldwin,20.286986153935374,high
AL,Autauga,15.702695629416384,medium
AK,Bethel,6.2337893647100735,low
AK,Juneau  and Borough,9.252120277563609,low
AK,Fairbanks North Star Borough,7.596627097568679,low
AK,Sitka  and Borough,13.177625301040576,medium
AK,Ketchikan Gateway Borough,12.749003984063744,medium
AK,Yakutat  and Borough,0.0,
AK,Northwest Arctic Borough,0.0,
AK,Prince of Wales-Hyder,14.64354527938343,medium
AK,North Slope Borough,13.088202212724187,medium
AK,Skagway,0.0,
AK,Wrangell Borough,0.0,
AK,Prince of Wales-Outer Ketchikan CA,0.0,
AK,Hoonah-Angoon,0.0,
AK,Kodiak Island Borough,11.30631414158984,medium
AK,Anchorage,8.441961514587213,low
AK,Skagway-Hoonah-Angoon,0.0,
AK,Nome,11.726173628239861,medium
AK,Yukon-Koyukuk,15.377292864203858,medium
AK,Haines Borough,0.0,
AK,Aleutians East Borough,0.0,
AK,Wrangell-Petersburg,0.0,
AK,Lake and Peninsula Borough,0.0,
AK,Denali Borough,0.0,
AK,Dillingham,12.875191116118131,medium
AK,Kenai Peninsula Borough,15.12519726641412,medium
AK,Matanuska-Susitna Borough,10.680612117747815,medium
AK,Wade Hampton,0.0,
AK,Southeast Fairbanks,12.193705725235164,medium
AK,Valdez-Cordova,14.857264140931765,medium
AK,Petersburg,0.0,
AK,Bristol Bay Borough,0.0,
AK,Aleutians West,0.0,
AZ,Apache,4.188411503053352,low
AZ,Coconino,5.381744087995832,low
AZ,Santa Cruz,7.283633247643531,low
AZ,Pinal,11.850057016740783,medium
AZ,Navajo,8.514986376021797,low
AZ,La Paz,25.451719448222264,high
AZ,Greenlee,10.651215303666149,medium
AZ,Mohave,29.787250666062455,high
AZ,Yavapai,19.98813374141686,medium
AZ,Graham,9.747053370414514,low
AZ,Yuma,11.69381626334008,medium
AZ,Gila,15.63139957389406,medium
AZ,Maricopa,10.22715129530904,medium
AZ,Cochise,14.978698713723958,medium
