Area,County,CancerType,Year,Sex,AgeAdjustedRate,CaseCount,Population
'Alabama','Shelby County','Lung and Bronchus','2013-2017','Male and Female','46.4','532','1044707'
'Alabama','Hale County','Lung and Bronchus','2013-2017','Male and Female','46.7','51','74956'
'Alabama','Monroe County','Lung and Bronchus','2013-2017','Male and Female','51.1','83','108662'
'Alabama','Coosa County','Lung and Bronchus','2013-2017','Male and Female','50.5','46','54815'
'Alabama','Perry County','Lung and Bronchus','2013-2017','Male and Female','49.4','34','48294'
'Alabama','Lauderdale County','Lung and Bronchus','2013-2017','Male and Female','62.5','413','463244'
'Alabama','Madison County','Lung and Bronchus','2013-2017','Male and Female','57.4','1190','1767915'
'Alabama','Randolph County','Lung and Bronchus','2013-2017','Male and Female','57.7','97','112692'
'Alabama','Pickens County','Lung and Bronchus','2013-2017','Male and Female','65.3','94','100855'
'Alabama','Wilcox County','Lung and Bronchus','2013-2017','Male and Female','62.1','47','54571'
'Alabama','Tuscaloosa County','Lung and Bronchus','2013-2017','Male and Female','61.1','632','1023240'
'Alabama','Sumter County','Lung and Bronchus','2013-2017','Male and Female','65.2','54','65631'
'Alabama','Mobile County','Lung and Bronchus','2013-2017','Male and Female','66.0','1662','2073749'
'Alabama','Pike County','Lung and Bronchus','2013-2017','Male and Female','60.7','110','167388'
'Alabama','Washington County','Lung and Bronchus','2013-2017','Male and Female','49.7','56','83735'
'Alabama','Dale County','Lung and Bronchus','2013-2017','Male and Female','75.1','239','247093'
'Alabama','St. Clair County','Lung and Bronchus','2013-2017','Male and Female','72.2','395','433645'
'Alabama','Winston County','Lung and Bronchus','2013-2017','Male and Female','69.2','130','119903'
'Alabama','Henry County','Lung and Bronchus','2013-2017','Male and Female','74.0','97','85543'
'Alabama','Tallapoosa County','Lung and Bronchus','2013-2017','Male and Female','74.6','233','203709'
'Alabama','Marion County','Lung and Bronchus','2013-2017','Male and Female','69.9','163','150288'
'Alabama','Marshall County','Lung and Bronchus','2013-2017','Male and Female','73.5','450','473985'
'Alabama','Escambia County','Lung and Bronchus','2013-2017','Male and Female','68.5','173','187653'
'Alabama','Morgan County','Lung and Bronchus','2013-2017','Male and Female','71.7','556','596094'
'Alabama','Talladega County','Lung and Bronchus','2013-2017','Male and Female','73.6','394','404508'
'Alabama','Cullman County','Lung and Bronchus','2013-2017','Male and Female','69.7','393','408811'
